;;2 COLUMNAS;;;;;;;;;;;;;;;;;
BMW;525;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
FORD;S-MAX;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
BMW;530 NUEVA SERIE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;JUSTO;SI
FORD;MONDEO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
RENAULT;ESPACE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
CITROEN;C5;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
JAGUAR;XTYPE;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;JUSTO;SI;SI
HYUNDAI;SONATA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;JUSTO;SI;SI
MERCEDES;CLASE E KOMPRESSOR;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
CITROEN;BERLINGO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
PEUGEOT;PARTNER;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
FORD;K;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
SKODA;SUPERB;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
SKODA;OCTAVIA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;JUSTO;SI;SI
TOYOTA;COROLLA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
TOYOTA;PRIUS;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;JUSTO;SI;JUSTO;SI;SI
BMW;X5;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;NO;SI;NO;SI;SI
NISSAN;KUBISTAR;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
OPEL;ZAFIRA;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;NO;SI;SI;SI;SI;SI
RENAULT;KANGOO;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI;SI
